Id,Def,IDword,,,
6091,"То же, что толкъ (в знач. 1)",4168,,,
6092,/i>1. Переводчик. ,4169,,,
6093,"2. Толкователь, комментатор",4169,,,
6094,"3. То, что содержит толкование, объяснение",4169,,,
6095,"То же, что толковый",4170,,,
6096,"Содержащий толкования, толковый",4171,,,
6097,"], прил. Бодучий, любящий бодаться",4173,,,
6098,Пест,4174,,,
6099,/i>1. Относящийся к толмачу (см. толмачь,4177,,,
6100,2. Относящийся к работе толмача. ,4177,,,
6101,"3. В знач. сущ. Толмацкое, с. Пошлина, взимаемая с привозного товара в качестве платы за услуги переводчика",4177,,,
6102,"То же, что толмачество",4178,,,
6103,Устный перевод. ,4180,,,
6104,Многокр. к толмачити (в знач. 2),4181,,,
6105,1. Устно переводить (что,4182,,,
6106,"2. Означать, переводиться",4182,,,
6107,Уменьш,4183,,,
6108,"То же, что толмацкое",4184,,,
6109,"Устный переводчик, толмач (ср. кыпч. ",4186,,,
6110,"Выгон для скота; зд. паровое поле, предназначенное для выпаса скота с целью удобрения почвы (ср",4190,,,
6111,"/i>1. Совместная сельскохозяйственная работа (жатва, молотьба и т. п.)",4191,,,
6112,"2. Потрава, вытаптывание",4191,,,
6113,3. Групповое изнасилование,4191,,,
6114,"/i>1. Толченая, немолотая мука из подсушенных и слегка поджаренных зерен овса",4192,,,
6115,2. Кушанье из овсяной муки с водою,4192,,,
6116,"/i>1. Тот, кто делает толокно (см. толокно в знач. 1)",4193,,,
6117,2. Толокно,4193,,,
6118,Относящийся к толокну (см. толокно в знач. 1),4194,,,
6119,"То же, что толокняникъ (в знач. 1)",4195,,,
6120,Участник какой,4196,,,
6121,1. Стучать, тж. перен. ,4197,,
6122,"2. Бить, ударять; тж. образно",4197,,,
6123,"3. Толочь, размельчать, дробить (пестом)",4197,,,
6124,"1. Стучаться, толкаться",4198,,,
6125,2. Бить себя,4198,,,
6126,"3. Ударяться, наталкиваться",4198,,,
6127,"4. Беспорядочно двигаться, зд. ворочаться. ",4198,,,
6128,"Топтать, вытаптывать (растущий хлеб или траву)",4199,,,
6129,"То же, что толочанинъ",4200,,,
6130,Множество людей (духов),4201,,,
6131,"1. Толстеть, увеличиваться в объеме, становиться толще",4202,,,
6132,"2. Становиться телесным, материальным",4202,,,
6133,Уменьш. к толстый (в знач. 1),4203,,,
6134,"1. Объем, толщина",4204,,,
6135,2. Грубый холст (полотно). (907),4204,,,
6136,"Грубо, толсто",4205,,,
6137,"Имеющий толстое брюхо, большой живот",4206,,,
6138,"Слегка толстый, утолщенный",4207,,,
6139,"Сделанный из толстой, грубой шерстяной ткани (об одежде)",4208,,,
6140,"в знач. сущ. Тот, кто имеет низкий, грубый голос",4209,,,
6141,Имеющий толстые губы,4210,,,
6142,Сотканный из толстых нитей. ,4211,,,
6143,Имеющий толстые ноги,4212,,,
6144,"Тучность, упитанность, телесная полнота. ",4213,,,
6145,"Тучный, упитанный",4214,,,
6146,"Имеющие толстое, мясистое лицо",4216,,,
6147,Имеющий толстый стебель (о растении),4217,,,
6148,1. Толщина,4218,,,
6149,2. Опухоль,4218,,,
6150,"3. Вещественность, материальность",4218,,,
6151,"1. Толщина, размер в обхвате, по окружности; тж. образно",4219,,,
6152,"2. Полнота, тучность",4219,,,
6153,"3. Вещественность, материальность",4219,,,
6154,"4. Густота, плотность",4219,,,
6155,"Сытный, обильный. (1204)",4220,,,
6156,Богатый угощением,4221,,,
6157,Охра красноватого оттенка,4222,,,
6158,"1. Упитанный, толстый, тучный",4223,,,
6159,"2. Имеющий большую толщину, широкий в обхвате",4223,,,
6160,3. Крупный, мясистый. ,4223,,
6161,"4. Грубый, плотный (о ткани, одежде)",4223,,,
6162,5. Вещественный,4223,,,
6163,"6. Скоромный, жирный (о пище)",4223,,,
6164,"7. Густой, частый (о растительности)",4223,,,
6165,"8. Густой, плотный (о веществе)",4223,,,
6166,"9. Густой, низкий (о голосе)",4223,,,
6167,"10. Резкий, сильный",4223,,,
6168,"Толстая, грубая ткань",4224,,,
6169,Действие по гл. толцати (в знач. 1),4225,,,
6170,"1. Стучать (в двери, ворота)",4226,,,
6171,"2. Бить, ударять",4226,,,
6172,"Тот, кто толчет что",4229,,,
6173,"/i>Зелейный толчейный двор – место, где толкут, измельчают лекарственные растения",4230,,,
6174,"То же, что толчей",4231,,,
6175,Предназначенный для толчения,4232,,,
6176,/i>1. Действие по гл. толочи (в знач. 2),4233,,,
6177,2. Действие по гл. толочи (в знач. 3),4233,,,
6178,Кушанье из теста с рыбным фаршем,4234,,,
6179,"/i>Зелейный толченый двор – то же, что зелейный толчейный двор",4235,,,
6180,"/i>1. Устройство для измельчения, дробления чего",4237,,,
6181,2. Пест,4237,,,
6182,"То, что толкут",4239,,,
6183,"Въ толчки – толчками, грубо толкая. ",4240,,,
6184,1. Толщина,4241,,,
6185,"2. То же, что толстота (в знач. 3)",4241,,,
6186,3. Величина,4241,,,
6187,◊ Толща земли (земная) – верхний слой земли,4241,,,
6188,Толщина,4242,,,
6189,◊ Толщина земная – толща земли,4242,,,
6190,"/i>1. Столь, так, до такой степени, настолько",4244,,,
6191,"2. В знач. союза. Однако, но, только (?)",4244,,,
6192,"То же, что толь (в знач. 1)",4245,,,
6193,"То же, что толико",4247,,,
6194,"То же, что только&sup&2&sup&",4248,,,
6195,"Только, лишь",4249,,,
6196,ест. 1.,4251,,,
6197,"2. То же, что толикий (в знач. 3)",4251,,,
6198,"/i>1. То же, что толико&sup&1&sup& (в знач. 1)",4252,,,
6199,"2. То же, что толико&sup&1&sup& (в знач. 2)",4252,,,
6200,"3. То же, что толико&sup&1&sup& (в знач. 4)",4252,,,
6201,"&sup&2&sup&, союз. Если (только)",4253,,,
6202,Столько раз,4255,,,
6203,"1. Так, столь, настолько",4256,,,
6204,2. Только,4256,,,
6205,3. Тогда,4256,,,
6206,4. (?),4256,,,
6207,"То же, что тольма (в знач. 1)",4257,,,
6208,"То же, что тольма (в знач. 1)",4258,,,
6209,/i>1. Том (ср. греч. τόμος),4259,,,
6210,"2. Постановление, указ",4259,,,
6211,"b> и ТОМАРА, ж",4260,,,
6212,"То же, что томарисковый",4261,,,
6213,Относящийся к растению тамариск (ср. лат. tamariscus),4262,,,
6214,"Стрела, дротик",4263,,,
6215,Предназначенный для мучения,4267,,,
6216,"Принадлежащий, относящийся к мучителю, тирану",4269,,,
6217,1. Тиран, мучитель,4270,,
6218,2. Властитель,4270,,,
6219,3. Передача греч. ,4270,,,
6220,"Свирепо, яростно",4271,,,
6221,Жестокая правительница (зд. перен.),4272,,,
6222,"То же, что томительнѣ",4273,,,
6223,"/i>1. То же, что томителевъ",4274,,,
6224,"2. Такой, который доставляет мучения, страдания",4274,,,
6225,"3. Такой, который наказывает, карательный",4274,,,
6226,"4. В знач. сущ. Томительно, с. То, что заслуживает наказания",4274,,,
6227,"Деспотический, тиранический. ",4275,,,
6228,"Жестокая власть, тирания",4276,,,
6229,"1. То же, что томительствие",4277,,,
6230,2. Насилие,4277,,,
6231,"3. Вид пытки, мучения",4277,,,
6232,"Насильственно, путем узурпации. ",4278,,,
6233,"1. Мучить, терзать; тж. перен",4279,,,
6234,"1. Мучиться, страдать",4281,,,
6235,2. Страд. к томити (в знач. 1),4281,,,
6236,2. Страд. к томити (в знач. 2),4281,,,
6237,3. Страд. к томити (в знач. 3),4281,,,
6238,"4. Спорить, препираться",4281,,,
6239,Горячий источник. ,4282,,,
6240,"1. Страдание, мучение",4283,,,
6241,"2. Наказание, кара",4283,,,
6242,3. Гонение, угнетение,4283,,
6243,"4. Греховная страсть, порок",4283,,,
6244,"5. Испытание, искус",4283,,,
6245,6. Аскеза,4283,,,
6246,"7. Усталость, утомление; натруженность. (1240)",4283,,,
6247,7. Передача греч,4283,,,
6248,"1. Измученный, утомленный",4284,,,
6249,"2. Натруженный, поврежденный",4284,,,
6250,"3. Мучительный, изнурительный",4284,,,
6251,"4. В знач.сущ. Томленая, ж. Беременная женщина, которой скоро предстоят роды",4284,,,
6252,Недоуздок – уздечка без удил. ,4285,,,
6253,"1. То же, что томленый (в знач. 1)",4286,,,
6254,"2. То же, что томленый (в знач. 3)",4286,,,
6255,3. Снулый (о рыбе),4286,,,
6256,"То же, что топазъ&sup&1&sup&",4289,,,
6257,То нъ паче – тем более,4290,,,
6258,"1. Глас, напев в церковном пении (ср. польск",4291,,,
6259,2. Музыкальный звук,4291,,,
6260,3. Тональность,4291,,,
6261,Уменьш. к тонкий (в знач. 2),4292,,,
6262,Уменьш. к тонко (в знач. 1),4293,,,
6263,"1. Становиться более худым, худеть",4294,,,
6264,"2. Становиться выше, тоньше (о голосе)",4294,,,
6265,"Тонкость, свойство по знач. прил. тонкий (в знач. 2)",4296,,,
6266,Уменьш. к тоня (в знач. 1),4297,,,
6267,"То же, что тоня (в знач. 1)",4298,,,
6268,"1. Имеющий небольшую толщину, нетолстый",4299,,,
6269,"2. Небольшой в обхвате, окружности",4299,,,
6270,3. Заостренный,4299,,,
6271,"4. Худой, тощий (о человеке и частях его тела)",4299,,,
6272,"5. Прозрачный, проницаемый, негустой",4299,,,
6273,"6. Бесплотный, невещественный",4299,,,
6274,"7. Жидкий, водянистый",4299,,,
6275,"8. Тонко измельченный, дробленый; мелкий",4299,,,
6276,"9. Скудный, истощенный",4299,,,
6277,"10. Слабый, легкий (о дуновении, ветре)",4299,,,
6278,"11. Неглубокий, чуткий, легко нарушаемый (о сне)",4299,,,
6279,"12. Тонко чувствующий, воспринимающий; проницательный",4299,,,
6280,"13. Неявный, незаметный",4299,,,
6281,"14. Искусный, изощренный",4299,,,
6282,"15. Высокий (о голосе, звуке)",4299,,,
6283,16. Как лингвистический термин,4299,,,
6284,"1. Тонко, не толсто (зд. о прядении нити)",4300,,,
6285,2. Тонким слоем,4300,,,
6286,"3. Мелко, в виде порошка",4300,,,
6287,"4. О тщательном приготовлении однородной смеси, раствора",4300,,,
6288,5. В верхнем голосовом диапазоне (о пении),4300,,,
6289,Имеющий после обработки небольшую толщину. ,4301,,,
6290,"Узковатый, имеющий небольшую ширину. ",4302,,,
6291,/i> Произносимый кратко (о звуке). ,4303,,,
6292,Мягко (о звуках),4304,,,
6293,Произносимый мягко (о согласном звуке). ,4305,,,
6294,"Хитроумный, изощренный. ",4306,,,
6295,Мягко (о звуках),4307,,,
6296,"/i>1. Издающий высокий, пронзительный звук",4308,,,
6297,2. Мягкий (о звуках). ,4308,,,
6298,"Имеющий тонкое, узкое горло (о сосуде)",4309,,,
6299,Сделанный из тонких нитей,4310,,,
6300,Имеющий тонкий нос,4312,,,
6301,"Подробно, обстоятельно",4313,,,
6302,Имеющий тонкие пальцы (зд. образно),4314,,,
6303,Сплетенный из тонких нитей,4315,,,
6304,Мастерица прясть тонкую пряжу,4316,,,
6305,"Проницательный, обладающий утонченным умом",4317,,,
6306,Простейшие элементы языка или речи (ср. греч,4318,,,
6307,Смягчать (о воздействии на согласный звук),4319,,,
6308,"1. Имеющий небольшую толщину, тонкий",4320,,,
6309,"2. Худой, узкий в кости",4320,,,
6310,3. Способствующий похудению,4320,,,
6311,4. Легкий (о жидкости),4320,,,
6312,5. Утонченный,4320,,,
6313,"1. Небольшая толщина, небольшие размеры; тонкость, хрупкость",4321,,,
6314,2. Худоба,4321,,,
6315,"3. Малая плотность, разреженность (о жидкостях, сыпучих веществах)",4321,,,
6316,"4. Утонченность, изысканность, изящество",4321,,,
6317,"5. Проницательность, тонкость (ума)",4321,,,
6318,"6. Въ тонкость, в знач. нареч. Подробно",4321,,,
6319,7. Чуткость (сна),4321,,,
6320,8. (?),4321,,,
6321,"1. То же, что тонкость (в знач. 1)",4322,,,
6322,"2. То же, что тонкость (в знач. 4)",4322,,,
6323,"Тонкая, искусная работа",4323,,,
6324,"Неосязаемый, невесомый, едва ощутимый. ",4324,,,
6325,Имеющий тонкий хвост,4325,,,
6326,Подробно,4326,,,
6327,в знач. сущ,4327,,,
6328,Рыбак на тоне – рыбном угодье (см. тоня в знач. 1),4328,,,
6329,Относящийся к тоне – рыбному угодью (см. тоня в знач. 1),4329,,,
6330,"В греческой орфографии – ударение, акцент (ср. греч. τόνος)",4330,,,
6331,"Легкий, текучий (о жидкости)",4331,,,
6332,"1. Небольшая толщина, тонкость",4332,,,
6333,"2. Утонченность, проницательность (ума)",4332,,,
6334,"3. Жидкость, жидкая субстанция",4332,,,
6335,"То же, что тонный",4335,,,
6336,"Идти ко дну, погружаться, тонуть. (985)",4336,,,
6337,"1. Чутко, неглубоко (о погружении в сон)",4338,,,
6338,"2. Подробно, обстоятельно, в тонкостях",4338,,,
6339,"3. То же, что тонко (в знач. 5)",4338,,,
6340,Утонченный,4340,,,
6341,"Тощий, сухопарый",4341,,,
6342,"1. Размельчать, перемалывать",4342,,,
6343,2. Делать тонким. ,4342,,,
6344,3. Делать высоким (о голосе),4342,,,
6345,"Делаться утонченным, опытным; совершенствоваться",4343,,,
6346,"Тонкая ткань; зд. одежда из тонкой ткани, летняя одежда",4344,,,
6347,"То же, что тонникъ",4345,,,
6348,Мелкое сито (?),4346,,,
6349,Вид корабельной снасти,4347,,,
6350,"1. Рыбное угодье, участок водоема с расчищенным дном для ловли рыбы и прилегающая к нему часть берега с хозяйством для рыбного промысла",4348,,,
6351,2. Улов или сеть с уловом после одной закидки невода, одна закидка невода,4348,,
6352,3.  (?),4348,,,
6353,Тонко выделанная кожа,4349,,,
6354,"Худощавый, сухопарый, узкий в кости",4350,,,
6355,"То же, что топотъ.",4352,,,
6356,"То же, что стопа",4353,,,
6357,Полудрагоценный камень топаз (ср. греч. τόπαζος),4354,,,
6358,Вид судна,4355,,,
6359,"То же, что топазъ&sup&1&sup&",4356,,,
6360,"То же, что топазъ&sup&1&sup&",4357,,,
6361,"То же, что топазъ&sup&1&sup&",4359,,,
6362,"То же, что топазъ&sup&1&sup&",4360,,,
6363,"/i>1. Сейчас, теперь",4365,,,
6364,2. Как искажение или переосмысление первоначального перво в сочетании,4365,,,
6365,"/i>1. Только что, недавно",4367,,,
6366,"2. Сейчас, теперь",4367,,,
6367,◊ Въ то перво (?),4367,,,
6368,"То же, что топерь",4369,,,
6369,"◊ Топере до часу – до поры до времени, временно. (1604)",4369,,,
6370,"Теперь, сейчас",4371,,,
6371,"То же, что топереча",4372,,,
6372,"1. Теперь, сейчас",4374,,,
6373,2. Как искажение или переосмысление первоначального перво в сочетании,4374,,,
6374,"То же, что топерь",4377,,,
6375,"Специалист по отоплению помещений, истопник. ",4378,,,
6376,"Небольшое топкое, болотистое место",4379,,,
6377,"&sup&1&sup&. 1. Разводя и поддерживая огонь, приводить в горячее состояние; греть; разогревать",4380,,,
6378,"2. Сжигая топливо, обогревать (помещение)",4380,,,
6379,&sup&2&sup&. 1. Расплавлять,4381,,,
6380,"2. Раскалывать, дробить под воздействием высокой температуры",4381,,,
6381,"3. Кипятить, выдерживая в печи на легком жару; томить",4381,,,
6382,"&sup&3&sup&. 1. Погружать в воду, заставляя тонуть; губить, силой погружая в воду, пуская ко дну; тж. образно",4382,,,
6383,2. Заливать водой, затапливать,4382,,
6384,"3. Погружать в жидкость, мочить",4382,,,
6385,&sup&1&sup&. 1. Страд. к топити,4383,,,
6386,2. Страд. к топити,4383,,,
6387,"3. Гореть (об огне, топливе)",4383,,,
6388,&sup&2&sup&. Страд. к топити,4384,,,
6389,&sup&3&sup&. 1. Тонуть, тж. перен. (1160),4385,,
6390,"2. Лишать себя жизни, бросаясь в воду",4385,,,
6391,Уменьш. к топа. 9,4386,,,
6392,"1. Залитый водой, вязкий, топкий",4387,,,
6393,"2. С вязкими, болотистыми берегами и дном (о водоеме, реке и т.п.)",4387,,,
6394,"С выделением сильного тепла, жарко (о горении дров)",4388,,,
6395,"Перетопленное сало, топленый жир",4389,,,
6396,"&sup&1&sup&, с. 1.",4390,,,
6397,2. Действие по глаг. топити,4390,,,
6398,"&sup&2&sup&, с. Действие по глаг. топити",4391,,,
6399,"&sup&1&sup&, прич. в знач. прил. 1.",4392,,,
6400,"2. Кипяченый и выдержанный в печи на легком жару, томленый",4392,,,
6401,"&sup&2&sup&, ТОПЛЕННЫЙ, прич. в знач. прил. 1.",4393,,,
6402,"2. Залитый водой, затопленный",4393,,,
6403,"3. Выдержанный в жидкости, моченый; маринованный. ",4393,,,
6404,в знач. сущ. Теплый, зд. перен,4394,,
6405,Тепло, зд. перен. ,4396,,
6406,"Теплота, тепло; жар",4397,,,
6407,"Источник тепла, очаг; жар",4398,,,
6408,1. Горячий, теплый,4399,,
6409,"2. Перен. Горячий, пламенный; ревностный",4399,,,
6410,"3. Перен. Благосклонный, доброжелательный",4399,,,
6411,4. Перен. Похотливый,4399,,,
6412,"&sup&2&sup&, прил. 1.",4400,,,
6413,"2. То же, что топкий (в знач. 1)",4400,,,
6414,3. Пролежавший в воде, испорченный водой. 2,4400,,
6415,"4. Выдержанный в жидкости, моченый",4400,,,
6416,"&sup&3&sup&, прил",4401,,,
6417,"¹, ж. Действие по глаг. топити",4402,,,
6418,ж. Трясина,4403,,,
6419,Сосуд для перетапливания металла,4404,,,
6420,"То же, что тонути (в знач. 1)",4405,,,
6421,То же,4406,,,
6422,"Удар, пинок ногой",4407,,,
6423,"То же, что тополь",4408,,,
6424,"Относящийся к тополю, тополевый",4409,,,
6425,Молодой тополь,4410,,,
6426,"То же, что тополекъ. (1469)",4411,,,
6427,Собир. к тополь,4412,,,
6428,"Относящийся к тополю, топольный",4413,,,
6429," Тополь, дерево, растение из семейства ивовых",4414,,,
6430,"Тополевая роща, тополевый лес. ",4415,,,
6431,"То же, что тополевый",4416,,,
6432,"То же, что тополь",4417,,,
6433,"1. Топор, рабочий инструмент для рубки и тески дерева",4418,,,
6434,"2. Топор, боевое оружие. (1071)",4418,,,
6435,"3. Топор, орудие казни",4418,,,
6436,4. Разновидность межевого или бортного знамени,4418,,,
6437,◊ Топоръ громный – сплавленный молнией песок,4418,,,
6438,Уменьш. к топоръ (в знач. 1),4419,,,
6439,"То же, что топоръ (в знач. 2). (1071)",4420,,,
6440,/i>1. Небольшой топор для рубки и тески дерева. ,4421,,,
6441,"2. Боевое оружие, характерное для XVII в",4421,,,
6442,Мастер по изготовлению топорищ,4422,,,
6443,"1. Деревянная рукоять топора, кирки",4423,,,
6444,2. Мера длины,4423,,,
6445,Нанесенный топорком (о ране),4424,,,
6446,/i>1. Расчищенный под пашню,4425,,,
6447,"2. Сделанный, нанесенный топором",4425,,,
6448,"/i>1. Сделанный, нанесенный топором",4426,,,
6449,2. Идущий на изготовление топоров,4426,,,
6450,"3. Такой, который имеет форму топора",4426,,,
6451,"1. То же, что топоръ (в знач. 2). (1070)",4427,,,
6452,"2. То же, что топорикъ (в знач. 2)",4427,,,
6453,3. Орудие казни,4427,,,
6454,"4. Хирургический инструмент, похожий на ланцет",4427,,,
6455,5. Разновидность межевого или бортного знамени,4427,,,
6456,6. Сплавленный молнией песок,4427,,,
6457,"7. Топорокъ путный – то же, что",4427,,,
6458,Мастер по изготовлению топоров,4428,,,
6459,1. Топот, топтание,4429,,
6460,2. Громкий звук, шум,4429,,
6461,"Наместник, лицо, временно исполняющее какую-л. должность; местоблюститель (ср. греч. τοποτηρητής)",4430,,,
6462,"Человек, занимающийся топтанием сукна",4432,,,
6463,1. Топание, громкий стук при топании ногами об пол,4433,,
6464,2. Хождение, наступание ногами на что-л,4433,,
6465,"3. Стук, биение",4433,,,
6466,"Топтаное сукно – сукно, обработанное топтанием ногами",4434,,,
6467,"Тот, кто топчет виноград для изготовления вина",4435,,,
6468,1. Приминать ногами (что-л.),4436,,,
6469,"2. Стучать, топотать ногами",4436,,,
6470,"3. Что. Давить, мять или бить с какой-л. практической целью",4436,,,
6471,"4. Бить, топтать; давить",4436,,,
6472,"5. Теснить, преследовать (неприятеля). (1517)",4436,,,
6473,6. Перен. Попирать,4436,,,
6474,"7. Оплодотворять самку, топтать (о птице)",4436,,,
6475,"Давить, затаптывать друг друга",4437,,,
6476,"Топтунами топтати – бить, избивать ногами. ",4438,,,
6477,"Топтунками бити (топтати) – бить, избивать ногами",4439,,,
6478,"Топунками бити (топтати) – бить, избивать ногами",4440,,,
6479,Начальник пушкарей (ср. тюрк,4441,,,
6480,"Низкое, затопленное водой место",4442,,,
6481,Растапливание,4443,,,
6482,Плетень (?),4445,,,
6483, Нож (ср. морд,4446,,,
6484,Сапоги из оленьей шкуры у северных народов (ср. якут,4450,,,
6485,"1. Торговля, торговое дело",4452,,,
6486,2. Торг, базар,4452,,
6487,3. Товар (?),4452,,,
6488,4. Торговая площадь, площадь вообще,4452,,
6489,"5. В знач. топонима. Торговая сторона, район в Новгороде и Пскове. (1152)",4452,,,
6490,"6. Торговые ряды, постройки для торговли",4452,,,
6491,7. Время торга. (1194),4452,,,
6492,◊ Дати торгъ – устроить торги,4452,,,
6493,"То же, что торговывати",4453,,,
6494,"/i>1. Разрывание, терзание",4454,,,
6495,2. Следы раздирания,4454,,,
6496,3. Вытягивание,4454,,,
6497,Сборщик,4455,,,
6498,Относящийся к сборщикам,4456,,,
6499,1. Дергать, вырывать,4457,,
6500,2. Сотрясать,4457,,,
6501,"3. Терзать, раздирать; тж. перен",4457,,,
6502,"4. Рвать, срывать. ",4457,,,
6503,1. Метаться, содрогаться,4458,,
6504,2. Разрываться,4458,,,
6505,"То же, что торгашъ",4459,,,
6506,"Торговец, купец",4460,,,
6507,1. Дернуть. (1162),4461,,,
6508,"2. Торг, в знач. сказ. Вырвать, выдернуть",4461,,,
6509,"Разорваться, лопнуть",4462,,,
6510,"Пойти в наступление, напасть, атаковать (ср. польск",4463,,,
6511,Сборщик торговой подати,4464,,,
6512,Пошлина с торговли,4465,,,
6513,Торговля,4466,,,
6514,"То же, что торгование",4467,,,
6515,"1. Торговать, вести торговлю",4468,,,
6516,2. Заключать торговую сделку,4468,,,
6517,"3. Договариваться о заключении торговой сделки, торговаться",4468,,,
6518,"/i>1. Торговец, купец",4469,,,
6519,"2. Монах, которому поручается ведение торговых операций (?)",4469,,,
6520,1. Площадь, рыночная площадь. ,4470,,
6521,"2. Место, где велась крупная торговля",4470,,,
6522,3. Лавка,4470,,,
6523,Предназначенный для торговли,4471,,,
6524,"Женщина, занимающаяся торговлей, по преимуществу мелочной",4472,,,
6525,Торговый,4473,,,
6526,"1. Торговля, купля и продажа товаров. ",4474,,,
6527,2. Торговая сделка,4474,,,
6528,3. Торговое дело,4474,,,
6529,4. Торговый заём (?),4474,,,
6530,"/i>1. Торговец, купец",4475,,,
6531,"2. Учитель или законовед, выступающий на городской площади",4475,,,
6532,1. Относящийся к торговой площади,4476,,,
6533,2. В знач.сущ. Рыночный торговец,4476,,,
6534,"3. В знач.сущ. Торговное, с. Состояние, богатство (греч. ",4476,,,
6535,4. Передача греч,4476,,,
6536,Относящийся к торговой стороне (см. торгъ в знач. 4). (1459),4477,,,
6537,"Торговец, купец",4478,,,
6538,"Торговать, вести торговлю",4479,,,
6539,1. Относящийся к торговле (см. торгъ в знач. 1),4480,,,
6540,2. Относящийся к торгу (см. торгъ в знач. 2). (1194),4480,,,
6541,3. Занимающийся торговлей,4480,,,
6542,4. Предназначенный для перевозки товаров. ,4480,,,
6543,"5. В знач.сущ. Торговое, с. Вид торговой пошлины",4480,,,
6544,◊ На торговую руку см. рука. Торговая баня (лазня) – общественная баня,4480,,,
6545,Торговец,4482,,,
6546,Торговец,4486,,,
6547,"Так, как на площадях (о празднестве)",4488,,,
6548,/i>1. Торговый,4489,,,
6549,"2. В знач.сущ. Нечто грубое, площадное, низменное",4489,,,
6550,"Празднично, торжественно",4490,,,
6551,"/i>1. Тот, кто торжествует",4491,,,
6552,"2. Гомилетический сборник, содержащий слова и поучения на церковные праздники неподвижного (минейного) и подвижного (триодного) круга",4491,,,
6553,"Величественно, торжественно",4492,,,
6554,"Важный, знаменательный, сопровождающийся особенными церемониями и пышностью",4493,,,
6555,"То же, что торжество (в знач. 2)",4494,,,
6556,"/i>1. Рынок, торг",4495,,,
6557,"2. Празднество, торжество",4495,,,
6558,1. Торговать. (1374),4496,,,
6559,"2. Праздновать, отмечать (какое-л. событие)",4496,,,
6560,3. Веселиться,4496,,,
6561,"Отмечаться, праздноваться",4497,,,
6562,"То же, что торжественникъ (в знач. 2)",4498,,,
6563,"в знач. прил. Торговый, рыночный",4499,,,
6564,/i>1. Уменьш.-уничиж. к торгъ&sup&1&sup& (в знач. 1),4500,,,
6565,2. Уменьш.-уничиж. к торгъ&sup&1&sup& (в знач. 2),4500,,,
6566,"/i>1. Торг, базар",4501,,,
6567,"2. Место, где велась крупная торговля",4501,,,
6568,"3. Площадь, рыночная площадь",4501,,,
6569,4. Собрание людей,4501,,,
6570,"5. Судилище, суд",4501,,,
6571,Относящийся к торгу (см. торжище в знач. 1),4502,,,
6572,"/i>1. Тот, кто занимается торговлей или денежными операциями",4503,,,
6573,"2. Тот, кто празднует, торжествует; участник празднества",4503,,,
6574,"3. Любитель собраний, праздников",4503,,,
6575,"4. Тот, кто находится на площади",4503,,,
6576,"5. Чиновник, управляющий работой рынка",4503,,,
6577,Относящийся к торговле (см. торгъ&sup&1&sup& в знач. 1). (1399),4504,,,
6578,"1. (Съ) торжкомъ – то же, что (съ)",4505,,,
6579,2. Уменьш. к торгъ&sup&1&sup& (в знач. 2),4505,,,
6580,3. Уменьш. к торгъ&sup&1&sup& (в знач. 3). (1147),4505,,,
6581,4. Небольшой торговый населенный пункт,4505,,,
6582,Вырывать,4506,,,
6583,Таракан,4507,,,
6584,"Кусок ткани, полотно",4508,,,
6585,"Ткнуть, толкнуть концом чего-л",4509,,,
6586,Верхняя женская нарядная одежда, шуба (ср. польск. torłop),4510,,
6587,"То же, что торлопъ",4511,,,
6588,Лира,4513,,,
6589,"/i>Торобная ловля – способ рыбной ловли, когда рыбу загоняют в сети, вспугивая особым шестом (боталом) (ср. фин",4514,,,
6590,Щедрый,4515,,,
6591,(?),4516,,,
6592,"/i>1. Ремни, приделанные сзади седла для привязывания мешка, сумы с вещами и другой поклажи (ср. тур. terki)",4520,,,
6593,"2. Свободные концы налобной повязки, поддерживающей волосы (об изображении ангелов).(1160)",4520,,,
6594,– ,4521,,,
6595,Связанный с изготовлением напитков (ср. польск. ,4522,,,
6596,"Тот, кто совершает набег. (1558)",4523,,,
6597,"Внезапно, неожиданно. (1471)",4524,,,
6598,"Замешательство, оторопь. (1175)",4526,,,
6599,"Торопиться, спешить",4527,,,
6600,"Робкий, нерешительный",4528,,,
6601,Поспешность. (1433),4529,,,
6602,"То же, что торопкий",4530,,,
6603,"Боязнь, робость. ",4531,,,
6604,Нагромождение осколков льдин по берегам водоемов (ср. саам,4532,,,
6605,"Тот, кто занимается торосным промыслом",4533,,,
6606,"Торосной промыселъ – то же, что ",4534,,,
6607,1. Покрытый торосами. ,4535,,,
6608,2. Торосовый промыселъ – зимняя охота на морского зверя на торосах у кромки воды,4535,,,
6609,"/i>1. Шнурок, лента, тесьма для украшения одежды",4536,,,
6610,"2. Мн. То же, что тороки (в знач. 2)",4536,,,
6611,"То же, что торочечникъ",4537,,,
6612,"Человек, плетущий тороки (см. тороки",4538,,,
6613,Принадлежащий торочечнику (см.торочечникъ),4539,,,
6614,Женск. к торочечникъ,4540,,,
6615,"Изготавливающий шнурки, ленты",4541,,,
6616,"1. Имеющий отделку тесмой, лентами. 4",4542,,,
6617,2. Сделанный из тесьмы,4542,,,
6618,"3. Идущий на изготовление лент, тесьмы",4542,,,
6619,Колос,4543,,,
6620,Форель (ср. фин. torpa),4544,,,
6621,Полотнище из самой грубой пряжи (ср. Даль). 7,4545,,,
6622,Нижняя часть тела. ,4546,,,
6623,Круглый хлеб (ср. лат. torta),4547,,,
6624,Вид подати,4548,,,
6625,Кусок рогожи,4549,,,
6626,Вид рогожи,4550,,,
